#BOF|2022.03.14|03:30:03
#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|
3MINDIA|INR|3M INDIA LTD|56987997|INE470A01017|NA|NA|1000|
63MOONS|INR|63 MOONS TECHNOLOGIES LTD|56983594|INE111B01023|NA|NA|200000|
ABAN|INR|ABAN OFFSHORE LIMITED|56572872|INE421A01028|NA|NA|200000|
ABB|INR|ABB INDIA LTD|51642767|INE117A01022|NA|NA|60000|
ABBOTINDI|INR|ABBOTT INDIA LTD|64682792|INE358A01014|NA|NA|2000|
ACC|INR|ACC LIMITED|44652144|INE012A01025|NA|NA|250000|
ADANIENT|INR|ADANI ENTERPRISES LTD|56986798|INE423A01024|NA|NA|2400000|
ADANIPORT|INR|ADANI PORTS AND SPECIAL ECON|79403918|INE742F01042|NA|NA|2000000|
ADANIPOWE|INR|ADANI POWER LIMITED|70299711|INE814H01011|NA|NA|3800000|
AIAENG|INR|AIA ENGINEERING LTD|56572901|INE212H01026|NA|NA|20000|
AKZOINDIA|INR|AKZO NOBEL INDIA LTD|56985584|INE133A01011|NA|NA|20000|
AMARAJABA|INR|AMARA RAJA BATTERIES LTD|113744943|INE885A01032|NA|NA|450000|
AMBUJACEM|INR|AMBUJA CEMENTS LIMITED|44652129|INE079A01024|NA|NA|2300000|
ANANTRAJ|INR|ANANT RAJ LTD|56988346|INE242C01024|NA|NA|1400000|
APOLLOHOS|INR|APOLLO HOSPITALS ENTERPRISE|78607402|INE437A01024|NA|NA|450000|
APOLLOTYR|INR|APOLLO TYRES LIMITED|56988336|INE438A01022|NA|NA|2500000|
ARVIND|INR|ARVIND LTD|56988374|INE034A01011|NA|NA|1200000|
ASHOKLEY|INR|ASHOK LEYLAND LIMITED|56988221|INE208A01029|NA|NA|>10000000|
ASTRAZEN|INR|ASTRAZENECA PHARMA INDIA LTD|56988414|INE203A01020|NA|NA|20000|
ATUL|INR|ATUL LIMITED|56988433|INE100A01010|NA|NA|75000|
AUROPHARM|INR|AUROBINDO PHARMA LTD|83937139|INE406A01037|NA|NA|1400000|
BAJAJ-AUT|INR|BAJAJ AUTO LIMITED|56987980|INE917I01010|NA|NA|400000|
BAJAJCON|INR|BAJAJ CONSUMER CARE LTD|87760451|INE933K01021|NA|NA|100000|
BAJAJELEC|INR|BAJAJ ELECTRICALS LIMITED|72175378|INE193E01025|NA|NA|100000|
BAJAJFINS|INR|BAJAJ FINSERV LTD|56987991|INE918I01018|NA|NA|150000|
BAJAJHIND|INR|BAJAJ HINDUSTHAN SUGAR LTD|56987992|INE306A01021|NA|NA|2900000|
BAJAJHLDN|INR|BAJAJ HOLDINGS AND INVESTMEN|44652102|INE118A01012|NA|NA|60000|
BALKRISIN|INR|BALKRISHNA INDUSTRIES LTD|81899870|INE787D01026|NA|NA|100000|
BALRAMCHI|INR|BALRAMPUR CHINI MILLS LTD|56988077|INE119A01028|NA|NA|1200000|
BANKINDIA|INR|BANK OF INDIA|56988052|INE084A01016|NA|NA|1200000|
BASF|INR|BASF INDIA LIMITED|56987855|INE373A01013|NA|NA|15000|
BAYERCROP|INR|BAYER CROPSCIENCE LTD|64682707|INE462A01022|NA|NA|20000|
BBTC|INR|BOMBAY BURMAH TRADING CORP|116743273|INE050A01025|NA|NA|250000|
BEML|INR|BEML LIMITED|56987900|INE258A01016|NA|NA|200000|
BFUTILITI|INR|BF UTILITIES LTD|56987912|INE243D01012|NA|NA|150000|
BGRENERGY|INR|BGR ENERGY SYSTEMS LIMITED|56987923|INE661I01014|NA|NA|200000|
BHARATFOR|INR|BHARAT FORGE LIMITED|56987929|INE465A01025|NA|NA|500000|
BHARTIART|INR|BHARTI AIRTEL LIMITED|64769335|INE397D01024|NA|NA|5700000|
BHEL|INR|BHARAT HEAVY ELECTRICALS|95441327|INE257A01026|NA|NA|4300000|
BIOCON|INR|BIOCON LTD|56987974|INE376G01013|NA|NA|650000|
BIRLACORP|INR|BIRLA CORP LIMITED|56987880|INE340A01012|NA|NA|35000|
BLUEDART|INR|BLUE DART EXPRESS LIMITED|56987894|INE233B01017|NA|NA|20000|
BLUESTARC|INR|BLUE STAR LIMITED|56988037|INE472A01039|NA|NA|40000|
BOMDYEING|INR|BOMBAY DYEING &amp; MFG CO LTD|116505002|INE032A01023|NA|NA|1000000|
BOSCHLTD|INR|BOSCH LIMITED|56988066|INE323A01026|NA|NA|5000|
BPCL|INR|BHARAT PETROLEUM CORP LTD|44652160|INE029A01011|NA|NA|1200000|
BRFL|INR|BOMBAY RAYON FASHIONS LTD|56988083|INE589G01011|NA|NA|100000|
BRIGADE|INR|BRIGADE ENTERPRISES LIMITED|56988086|INE791I01019|NA|NA|500000|
BSOFT|INR|BIRLASOFT LTD|56985099|INE836A01035|NA|NA|500000|
CANBK|INR|CANARA BANK|56985302|INE476A01014|NA|NA|1000000|
CARBORUNI|INR|CARBORUNDUM UNIVERSAL LTD|95548951|INE120A01034|NA|NA|200000|
CENTRALBK|INR|CENTRAL BANK OF INDIA|56985305|INE483A01010|NA|NA|1000000|
CENTURYTE|INR|CENTURY TEXTILES &amp; INDS LTD|56985354|INE055A01016|NA|NA|450000|
CGPOWER|INR|CG POWER AND INDUSTRIAL SOLU|56985479|INE067A01029|NA|NA|3200000|
CHAMBLFER|INR|CHAMBAL FERTILISERS &amp; CHEM|56985404|INE085A01013|NA|NA|1500000|
CHENNPETR|INR|CHENNAI PETROLEUM CORP LTD|56987345|INE178A01016|NA|NA|65000|
CIPLA|INR|CIPLA LTD|44652139|INE059A01026|NA|NA|2100000|
CLNINDIA|INR|CLARIANT CHEMICALS (I) LTD|56985422|INE492A01029|NA|NA|10000|
COALINDIA|INR|COAL INDIA LTD|80626626|INE522F01014|NA|NA|2100000|
COFORGE|INR|COFORGE LTD|56984634|INE591G01017|NA|NA|100000|
COLPAL|INR|COLGATE PALMOLIVE (INDIA)|56985419|INE259A01022|NA|NA|150000|
COROMANDE|INR|COROMANDEL INTERNATIONAL LTD|82363812|INE169A01031|NA|NA|200000|
CRISIL|INR|CRISIL LTD|95305491|INE007A01025|NA|NA|30000|
CUB|INR|CITY UNION BANK LTD|56985542|INE491A01021|NA|NA|1000000|
CUMMINSIN|INR|CUMMINS INDIA LTD|56985045|INE298A01020|NA|NA|200000|
CYIENT|INR|CYIENT LTD|56985714|INE136B01020|NA|NA|150000|
DABUR|INR|DABUR INDIA LIMITED|44652199|INE016A01026|NA|NA|1000000|
DCBBANK|INR|DCB BANK LTD|56984045|INE503A01015|NA|NA|1200000|
DELTACORP|INR|DELTA CORP LTD|56984039|INE124G01033|NA|NA|1100000|
DEN|INR|DEN NETWORKS LTD|70756752|INE947J01015|NA|NA|400000|
DISHTV|INR|DISH TV INDIA LTD|56984081|INE836F01026|NA|NA|4000000|
DIVISLAB|INR|DIVI'S LABORATORIES LTD|56984084|INE361B01024|NA|NA|350000|
DLF|INR|DLF LIMITED|49982064|INE271C01023|NA|NA|6800000|
DRREDDY|INR|DR. REDDY'S LABORATORIES|44652180|INE089A01023|NA|NA|350000|
ECLERX|INR|ECLERX SERVICES LTD|75733275|INE738I01010|NA|NA|35000|
EDELWEISS|INR|EDELWEISS FINANCIAL SERVICES|77837409|INE532F01054|NA|NA|500000|
EDUCOMP|INR|EDUCOMP SOLUTIONS LTD|69908072|INE216H01027|NA|NA|550000|
EIDPARRY|INR|EID PARRY INDIA LTD|82363785|INE126A01031|NA|NA|100000|
EIHOTEL|INR|EIH LIMITED|56984324|INE230A01023|NA|NA|100000|
