#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|
A|USD|AGILENT TECHNOLOGIES INC|1715006|XXXXXXXU1016|-0.2515|0.3215|>10000000|
AA|USD|ALCOA CORP|251962528|XXXXXXX21065|-0.1800|0.2500|7200000|
AAA|USD|AAF FIRST PRIORITY CLO BOND|444250694|XXXXXXXF6566|-0.9552|1.0252|20000|
AAAU|USD|GOLDMAN SACHS PHYSICAL GOLD|458886642|XXXXXXXK1034|-1.9159|1.9859|350000|
AABB|USD|ASIA BROADBAND INC|75216559|XXXXXXXL1008|-2.2490|2.3190|1500000|
AABVF|USD|ABERDEEN INTERNATIONAL INC.|60152167|CA0030691012|-1.2072|1.2772|7000|
AAC|USD|ARES ACQUISITION CORP-A|477011235|KYG330321061|-1.5348|1.6048|450000|
AAC U|USD|ARES ACQUISITION CORP|468799337|KYG330321145|-1.2799|1.3499|60000|
AACAY|USD|AAC TECHNOLOGIES H-UNSPON AD|54939868|XXXXXXX41052|-25.9885|26.0585|1000|
AACG|USD|ATA CREATIVITY GLOBAL - ADR|48811132|XXXXXXXV1061|-40.4074|40.4774|150000|
AACI|USD|ARMADA ACQUISITION CORP I|525552650|XXXXXXXV1035|-1.9991|2.0691|600000|
AACIU|USD|ARMADA ACQUISITION CORP I|508146551|XXXXXXXV2025|-1.4964|1.5664|10000|
AACTF|USD|AURORA SOLAR TECHNOLOGIES IN|195675323|CA05207J1084|-1.5174|1.5874|65000|
AADI|USD|AADI BIOSCIENCE INC|511263210|XXXXXXXQ1040|-2.2552|2.3252|350000|
AADR|USD|ADVISORSHARES DORSEY WRIGHT|77459165|XXXXXXXY2063|-0.6845|0.7545|20000|
AAGC|USD|ALL AMERICAN GOLD CORP|88362966|XXXXXXXV1026|-1.4850|1.5550|4100000|
AAGFF|USD|AFTERMATH SILVER LTD|267518971|CA00831V2057|-45.6066|45.6766|100000|
AAGH.OLD1|USD|ASIA GLOBAL HOLDINGS CORP|40015795|XXXXXXXD1081|-0.1800|0.2500|550000|
AAGIY|USD|AIA GROUP LTD-SP ADR|90162715|XXXXXXX72053|-6.6607|6.7307|100000|
AAIC|USD|ARLINGTON ASSET INVESTMENT-A|69259320|XXXXXXX62051|-0.3571|0.4271|1900000|
AAIC PRB|USD|ARLINGTON ASSET INVT CORP PERP PFD|276016743|XXXXXXX66011|-74.2962|74.3662|15000|
AAIC PRC|USD|ARLINGTON ASSET INVEST|356101385|XXXXXXX67001|-61.8472|61.9172|95000|
AAIN|USD|ARLINGTON ASSET INVESTMENT CORP|503299518|XXXXXXX68090|-26.1155|26.1855|15000|
AAIRF|USD|AMERICAN AIRES INC|452068989|CA02377G1054|-0.8354|0.9054|800|
AAL|USD|AMERICAN AIRLINES GROUP INC|139673266|XXXXXXXR1023|-0.2965|0.3665|7600000|
AAM PRA|USD|APOLLO MANAGEMENT LLC|536207462|XXXXXXXW2035|-12.2039|12.2739|80000|
AAM PRB|USD|APOLLO MANAGEMENT LLC|536207507|XXXXXXXW3025|-15.1053|15.1753|100000|
AAMC|USD|ALTISOURCE ASSET MANAGEMENT|118834665|VI02153X1080|-0.7437|0.8137|15000|
AAME|USD|ATLANTIC AMERICAN CORP|265585|XXXXXXX91008|-2.8496|2.9196|250000|
AAMMF|USD|ALMADEX MINERALS LTD-NEW|319496815|CA02028L1076|-2.4592|2.5292|40000|
AAMUQ|USD|AMERICAN AMMUNITION INC-CA|30207305|XXXXXXX62093|-0.1800|0.2500|400000|
AAN|USD|AARON'S CO INC-THE|455975127|XXXXXXXW1080|-0.1988|0.2688|1400000|
AAOI|USD|APPLIED OPTOELECTRONICS INC|135423662|XXXXXXXU1025|-0.5715|0.6415|1500000|
AAON|USD|AAON INC|265595|XXXXXXX02069|-0.1800|0.2500|1700000|
AAP|USD|ADVANCE AUTO PARTS INC|4027|XXXXXXXY1064|-0.2551|0.3251|2000000|
AAPH|USD|AMERICAN PETRO-HUNTER INC|30207586|XXXXXXX71005|-0.2300|0.3000|1000000|
AAPL|USD|APPLE INC|265598|XXXXXXX31005|-0.1800|0.2500|>10000000|
AAPT|USD|ALL AMERICAN PET CO INC|44001811|XXXXXXXF1066|-0.8354|0.9054|8300000|
AAQC|USD|ACCELERATE ACQUISITION COR-A|489110448|XXXXXXXD1028|-1.3804|1.4504|350000|
AAQC U|USD|ACCELERATE ACQUISITION CORP|476856758|XXXXXXXD2018|-1.3980|1.4680|3000|
AAT|USD|AMERICAN ASSETS TRUST INC|82819360|XXXXXXX31047|-0.1800|0.2500|1600000|
AATC|USD|AUTOSCOPE TECHNOLOGIES CORP|504062934|XXXXXXX61067|-1.7671|1.8371|450000|
AATRL|USD|AMG CAPITAL TRUST II|415141203|XXXXXXXF2092|-0.2300|0.3000|500000|
AATV|USD|ADAPTIVE AD SYSTEMS INC|160872878|XXXXXXXA1007|-0.2300|0.3000|600|
AAU|USD|ALMADEN MINERALS LTD - B|202212514|CA0202833053|-2.3296|2.3996|2900000|
AAVMY|USD|ABN AMRO BANK NV-UNSP ADR|377515728|XXXXXXXQ1058|-6.1107|6.1807|1000|
AAVVF|USD|ADVANTAGE ENERGY LTD|493038634|CA00791P1071|-1.4847|1.5547|400000|
AAWH|USD|ASCEND WELLNESS HOLDINGS-A|490642487|XXXXXXXN1063|-1.1162|1.1862|500000|
AAWW|USD|ATLAS AIR WORLDWIDE HOLDINGS|39505341|XXXXXXX42056|-0.1800|0.2500|1700000|
AAXJ|USD|ISHARES MSCI ALL COUNTRY ASI|53224215|XXXXXXX81829|-0.3463|0.4163|1700000|
AB|USD|ALLIANCEBERNSTEIN HOLDING LP|38198926|XXXXXXXG1067|-2.4205|2.4905|600000|
ABAT|USD|ADVANCED BATTERY TECHNOLOGIE|30207591|XXXXXXXH1023|-0.2300|0.3000|1500000|
ABB|USD|ABB LTD-SPON ADR|11962137|XXXXXXX52047|-0.3682|0.4382|250000|
ABBRF|USD|ABRASILVER RESOURCE CORP|475418221|CA00379L1067|-10.9830|11.0530|750000|
ABBV|USD|ABBVIE INC|118089500|XXXXXXXY1091|-0.1800|0.2500|>10000000|
ABC|USD|AMERISOURCEBERGEN CORP.|1714996|XXXXXXXE1055|-0.1800|0.2500|3900000|
ABCB|USD|AMERIS BANCORP|3655373|XXXXXXXK1088|-0.2574|0.3274|3300000|
ABCE|USD|ABCO ENERGY INC|463342394|XXXXXXXV4023|-0.8484|0.9184|3300000|
ABCFF|USD|ABACUS MINING &amp; EXPLORATION|274710751|CA0025555065|-0.8354|0.9054|70000|
ABCL|USD|ABCELLERA BIOLOGICS INC|459919952|CA00288U1066|-0.6253|0.6953|1200000|
ABCM|USD|ABCAM PLC-SPON ADR|451447704|XXXXXXX02040|-0.5868|0.6568|250000|
ABCP|USD|AMBASE CORP|30207592|XXXXXXX41061|-1.4672|1.5372|150000|
ABEO|USD|ABEONA THERAPEUTICS INC|197341060|XXXXXXXY1073|-0.4994|0.5694|2400000|
